"","T.H.I","T.F.E","T.E","I.H.R.V","MCareExp","Tra.Exp","G.F.G.E","H.H.Age","Floor.Area","House.Age","PPN","CYP","GL","BYS","RTvsNT","Number.of.bedrooms","Number.of.Television","Number.of.CD.VCD.DVD","Number.of.Component.Stereo.set","Number.of.Refrigerator.Freezer","Number.of.Washing.Machine","Number.of.Airconditioner","Number.of.Car..Jeep..Van","Number.of.Landline.wireless.telephones","Number.of.Cellular.phone","Number.of.Personal.Computer","Number.of.Stove.with.Oven.Gas.Range","Number.of.Motorized.Banca","Number.of.Motorcycle.Tricycle","Region","Main.Source.of.Income","Household.Head.Sex","Household.Head.Marital.Status","Household.Head.Job.or.Business.Indicator","Household.Head.Class.of.Worker","Type.of.Household","Type.of.Building.House","Type.of.Roof","Type.of.Walls","Tenure.Status","Toilet.Facilities","Electricity","Main.Source.of.Water.Supply","Young.Members"
"1",936116,204969,2562,90000,3469,50448,0,42,24,25,52769,64422,116090,314680,33.3333333333333,3,1,0,0,1,1,1,1,1,5,2,0,0,0,"NCR","Wage/Salaries","Male","Married","With Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"2",100365,50545,2080,4500,470,2100,0,40,50,14,37504,11695,1470,33572,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0," ARMM","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own or owner-like possession of house and lot","Open pit","Si","Shared, faucet, community water system","between 5 and 17 years old"
"3",236605,74240,0,90000,545,4032,0,76,77,20,52697,14935,14420,137586,50,3,1,0,0,1,0,1,0,0,1,0,0,0,0,"Caraga","Other sources of Income","Female","Widowed","No Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"4",112447,57793,11765,7200,2320,2676,0,54,40,18,40016,14763,5115,25505,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,"V - Bicol Region","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Extended Family","Single house","Light material (cogon,nipa,anahaw)","Strong","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Dug well","between 5 and 17 years old"
"5",402008,87578,0,0,240,39960,0,35,45,10,24785,7518,56861,164540,100,2,1,0,1,1,0,0,0,0,2,1,0,0,0,"NCR","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Extended Family","Multi-unit residential","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent house/room including lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"6",151520,70029,6335,60000,66,384,0,49,100,65,45606,15697,8114,95858,14.2857142857143,2,1,1,0,1,1,0,0,0,4,0,0,0,0,"NCR","Other sources of Income","Male","Single","With Job/Business","Worked for private establishment","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Quite Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"7",272250,108829,1810,6000,888,9030,82405,70,30,11,89097,30294,26644,32002,16.6666666666667,2,1,1,0,0,1,0,0,0,2,1,0,0,1,"XII - SOCCSKSARGEN","Wage/Salaries","Male","Married","No Job/Business","Worked for government/government corporation","Extended Family","Single house","Mixed but predominantly strong materials","Quite Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Tubed/piped shallow well","between 5 and 17 years old"
"8",603617,179628,0,42600,10065,19686,0,60,108,60,60999,58072,38472,135818,40,5,1,1,1,1,0,0,0,0,2,1,1,0,0,"VII - Central Visayas","Wage/Salaries","Female","Married","No Job/Business","Worked for government/government corporation","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"9",177143,75619,1755,12000,156,5820,0,67,45,14,75427,20386,21342,59764,0,4,1,1,0,0,1,0,0,0,5,0,0,0,0,"XI - Davao Region","Enterpreneurial Activities","Male","Married","No Job/Business","Worked for private establishment","Single Family","Duplex","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, other depository, used exclusively by household","Si","Own use, tubed/piped deep well","No children"
"10",345300,79931,0,72000,2530,21600,0,44,90,29,24052,16705,44490,185837,0,2,1,1,0,1,1,0,0,1,3,2,1,0,0,"NCR","Other sources of Income","Female","Divorced/Separated","No Job/Business","Worked for private establishment","Single Family","Single house","Light material (cogon,nipa,anahaw)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
